Age	N_speaker	N_utterance
67	4	3526
35	48	35868
18	96	6734
26	62	42319
32	73	47942
12	17	358
21	68	12576
52	18	8530
58	12	7617
42	38	12197
62	11	4029
23	62	21651
14	45	996
49	17	7832
57	48	86972
53	12	6059
19	77	8515
30	162	52491
31	58	51793
70	6	2071
65	1	1466
16	21	3723
33	71	47625
51	17	8110
59	12	7676
20	98	8787
28	98	45578
25	52	42032
44	20	11251
29	70	54222
38	36	20857
22	46	13332
41	37	12451
54	12	8543
68	8	2532
69	5	3382
71	6	1650
63	7	2129
50	18	9266
39	79	20734
17	42	3966
61	10	2989
27	70	44212
64	5	1745
66	4	2416
46	22	10541
34	42	45931
43	21	9679
55	12	7506
36	77	69583
48	24	12246
40	34	13818
72	15	1746
15	24	1887
13	20	361
47	21	8443
37	29	27364
45	20	11800
24	210	56209
56	10	5827
60	16	5365
