Age	N_speaker	N_utterance
67	1	4881
35	43	59426
18	102	33869
26	55	75270
32	65	70133
12	19	23629
21	58	27340
52	17	9571
58	11	8550
42	35	12777
62	4	2611
23	49	43420
14	60	34042
49	17	12189
57	47	49445
53	11	9921
19	63	26620
30	156	85122
31	51	80020
70	3	2553
65	1	1985
16	14	12807
33	62	76957
51	15	12055
59	8	11727
20	95	29883
28	91	79110
25	42	78894
44	15	14210
29	63	81496
38	32	25261
22	37	26051
41	35	12323
54	12	10482
68	1	2603
69	2	4060
71	1	1943
63	3	2394
50	16	12940
39	76	27809
17	29	15857
61	2	1715
27	61	71491
64	2	3106
66	1	3903
46	17	15587
34	36	70038
43	18	12707
55	12	9597
36	51	97334
48	17	16531
40	29	16839
72	2	1016
15	19	12148
13	25	21524
47	18	12190
37	25	39361
45	17	18343
24	211	132617
56	9	8846
60	8	3589
