Age	N_speaker	N_utterance
40	145	18489
119	5	215
3	1	35
93	14	468
115	11	685
23	180	39839
80	7	269
73	28	1230
103	7	164
12	36	1916
58	48	10306
37	126	39411
126	12	426
62	45	4863
95	13	433
46	85	14179
81	19	1341
288	0	0
55	55	10302
91	12	1741
76	13	928
94	8	239
104	4	93
114	18	1719
18	216	17931
54	50	11392
39	284	29096
6	4	655
26	218	64717
57	215	112022
16	45	9315
83	31	2992
59	49	10636
66	15	3234
42	149	16359
48	101	16981
60	59	7061
14	104	4559
32	304	71581
38	147	28849
100	12	709
141	2	47
43	97	12856
11	109	1081
13	47	1997
51	74	11008
113	9	713
116	23	1200
110	11	503
118	6	392
28	352	71605
133	6	154
96	6	209
71	12	2131
86	24	2552
27	257	69677
35	199	53713
87	20	2079
29	270	81135
72	32	2129
9	22	1239
106	12	707
99	8	290
53	50	8450
85	33	3460
65	6	1945
109	23	1099
105	5	128
101	12	463
108	4	81
132	19	1082
44	89	14582
125	10	211
52	86	11367
122	13	557
20	267	17570
50	84	12480
78	22	939
144	5	34
74	15	597
61	38	3703
56	39	8187
17	87	11707
25	193	68172
64	21	2509
121	17	1082
102	3	81
49	71	10534
90	17	2625
8	10	973
7	47	905
63	27	2811
15	41	4778
120	18	1461
130	5	37
75	10	939
47	86	11413
31	240	75787
112	18	1901
82	18	1251
68	24	3301
69	17	4449
98	9	725
123	12	595
36	289	108165
89	21	2238
77	19	923
5	2	163
24	620	103025
92	6	812
107	6	349
117	17	1098
22	121	24310
84	38	3535
21	164	23920
67	17	4798
45	84	16305
19	179	18630
111	27	913
10	57	592
140	5	122
33	288	72481
70	24	2720
41	146	16614
88	12	2627
79	17	809
137	2	17
34	192	67808
30	551	81302
