Sent_len	N_speaker	N_utterance
10	396	16280
21	109	692
27	46	179
65	1	1
70	1	1
52	7	10
74	0	0
13	286	5578
117	0	0
5	675	142197
51	4	4
78	1	1
20	124	858
39	17	32
88	0	0
28	43	159
9	442	24721
30	38	122
69	1	1
33	30	63
77	1	2
79	1	1
86	2	2
73	0	0
11	367	10849
47	5	10
50	4	5
16	202	2308
67	0	0
26	57	278
14	258	4141
71	1	1
18	147	1368
92	0	0
6	605	94691
62	2	3
35	21	44
61	6	6
44	14	24
3	809	250986
75	1	1
31	27	88
59	3	3
34	22	61
48	3	5
63	0	0
7	547	60914
53	3	3
60	1	2
42	13	20
37	14	30
101	1	1
29	37	118
19	132	1059
66	2	3
84	0	0
17	155	1689
45	12	16
80	0	0
64	0	0
43	12	19
55	3	3
68	0	0
46	8	10
36	20	45
22	86	532
40	22	46
81	1	1
24	73	365
41	15	29
2	844	290780
4	748	203572
54	2	2
38	15	28
12	342	7962
72	1	1
100	1	1
8	489	38677
127	0	0
1	914	639118
25	65	311
49	5	8
23	74	427
58	1	1
32	33	97
83	0	0
82	0	0
76	0	0
15	221	3057
57	6	6
111	0	0
56	1	1
91	1	1
107	1	1
