Age	N_speaker	N_utterance
120	3	1302
10	93	39762
21	58	33259
27	61	88346
93	1	20
65	1	2391
70	3	3139
132	1	141
52	17	11174
74	3	596
102	0	0
133	1	129
137	1	28
13	25	28721
103	0	0
5	1	686
117	3	1556
51	15	14217
96	0	0
78	2	143
20	95	38195
39	76	34000
88	1	3441
28	91	97884
9	15	24995
30	156	105930
69	2	4969
33	62	94930
86	2	1829
77	2	814
79	1	200
110	2	793
73	2	854
115	2	837
11	130	47695
47	18	14353
144	1	55
50	16	15353
112	2	1327
87	1	1765
16	14	15574
67	1	5849
26	55	93266
14	60	45368
71	1	2295
18	102	42414
92	1	1146
6	3	4657
108	0	0
85	1	2270
62	4	3125
105	0	0
35	43	73706
61	2	2129
44	15	16904
3	1	138
75	1	1276
31	51	99424
59	8	14048
34	36	86559
48	17	19964
125	2	192
63	3	2897
126	2	437
7	143	37408
53	11	11459
60	8	4208
42	35	15120
37	25	47436
101	1	117
122	3	317
29	63	99643
116	4	1634
19	63	33189
288	1	77
109	4	1179
140	1	58
118	1	432
66	1	4664
84	3	1512
141	1	102
17	29	19768
99	0	0
45	17	21694
80	0	0
64	2	3760
106	1	668
43	18	15402
55	12	11261
68	1	3198
46	17	18275
36	51	121510
90	1	2356
22	37	32175
81	1	445
40	29	20178
24	211	163832
41	35	14702
114	3	1710
54	12	12750
38	32	30712
12	19	31005
104	0	0
72	2	1331
95	0	0
100	1	73
8	4	7643
98	0	0
89	1	1761
25	42	96939
49	17	14745
23	49	54350
58	11	10398
32	65	88051
83	2	1720
121	3	1087
119	1	392
82	1	827
130	1	79
113	1	427
123	2	754
76	3	973
94	1	101
15	19	15227
57	47	59328
111	4	553
56	9	10472
91	1	2537
107	1	172
