Sent_len	N_speaker	N_utterance
10	872	65401
21	306	3079
27	164	843
65	4	4
70	3	3
52	16	20
74	1	1
13	673	25030
117	1	1
5	936	263917
51	20	27
78	1	1
20	324	3835
39	42	84
88	2	2
28	143	663
9	885	91665
30	109	430
69	2	2
33	80	258
77	1	1
79	1	1
86	0	0
73	4	5
11	815	46969
47	17	26
50	12	18
16	504	10687
67	3	4
26	179	956
14	615	18680
71	4	5
18	410	6349
92	2	2
6	931	213184
62	5	5
35	52	160
61	6	6
44	25	45
3	937	319857
75	0	0
31	113	383
59	3	3
34	77	215
48	20	32
63	4	5
7	928	168693
53	8	14
60	5	8
42	27	64
37	49	133
101	0	0
29	130	522
19	362	5063
66	3	3
84	2	3
17	457	8414
45	26	36
80	1	1
64	1	1
43	27	55
55	6	10
68	3	3
46	18	27
36	50	147
22	277	2361
40	45	115
81	0	0
24	227	1590
41	33	98
2	936	261138
4	937	309186
54	10	14
38	47	112
12	756	34399
72	2	2
100	0	0
8	922	127533
127	1	1
1	939	491722
25	210	1284
49	12	22
23	246	1956
58	7	7
32	93	326
83	1	2
82	2	2
76	1	1
15	581	14216
57	13	14
111	1	1
56	7	9
91	0	0
107	0	0
